age,education_level,occupation,number_of_dependents,location,work_experience,marital_status,employment_status,household_size,homeownership_status,type_of_housing,gender,primary_mode_of_transportation,income,log_income
51,Bachelor's,Others,2,Suburban,15,Married,Self-employed,1,Own,Single-family home,Female,Car,73694,11.207690233270858
45,High School,Education,4,Urban,42,Single,Self-employed,7,Own,Apartment,Female,Car,72618,11.192981874562307
54,High School,Healthcare,0,Urban,22,Single,Full-time,2,Rent,Single-family home,Female,Public transit,874807,13.68175971269035
24,Master's,Technology,2,Urban,22,Married,Part-time,2,Rent,Single-family home,Male,Public transit,1716960,14.356066425585535
21,High School,Healthcare,3,Urban,14,Single,Self-employed,1,Own,Townhouse,Male,Public transit,69062,11.142774410487005
54,Bachelor's,Healthcare,0,Suburban,8,Married,Full-time,6,Rent,Townhouse,Male,Walking,2517506,14.738779684107236
18,High School,Healthcare,3,Urban,39,Married,Full-time,1,Own,Apartment,Male,Public transit,74228,11.214910188378656
18,High School,Technology,1,Urban,37,Married,Full-time,4,Own,Apartment,Male,Walking,73876,11.210156827099976
64,Bachelor's,Technology,1,Urban,17,Single,Full-time,1,Own,Single-family home,Female,Public transit,75080,11.226322809738011
37,Doctorate,Education,0,Urban,37,Single,Full-time,3,Own,Townhouse,Female,Public transit,68900,11.140425970684525
36,Bachelor's,Technology,0,Urban,5,Married,Full-time,7,Own,Single-family home,Female,Biking,71712,11.180427321170987
46,Master's,Healthcare,2,Urban,43,Single,Part-time,5,Rent,Apartment,Male,Walking,187605,12.142099297985249
27,Doctorate,Finance,4,Urban,36,Married,Part-time,6,Rent,Apartment,Male,Biking,68742,11.138130192163176
35,High School,Finance,4,Suburban,45,Single,Full-time,4,Rent,Single-family home,Male,Public transit,66236,11.100994498178453
45,Bachelor's,Healthcare,1,Suburban,5,Married,Self-employed,1,Own,Single-family home,Male,Public transit,67018,11.112731440260855
52,Master's,Technology,1,Urban,20,Single,Self-employed,6,Rent,Apartment,Female,Car,68636,11.13658702691299
60,Master's,Technology,1,Urban,29,Married,Full-time,3,Rent,Apartment,Male,Car,72602,11.192761522273194
64,Bachelor's,Healthcare,3,Urban,27,Married,Full-time,6,Rent,Apartment,Female,Car,99090,11.503793898837728
48,Doctorate,Healthcare,4,Urban,19,Married,Full-time,1,Own,Apartment,Male,Car,70176,11.158775901002087
44,High School,Others,0,Suburban,18,Married,Part-time,4,Rent,Single-family home,Female,Public transit,74488,11.218406742459457
28,High School,Healthcare,1,Rural,13,Single,Part-time,4,Own,Townhouse,Male,Public transit,1012697,13.828128614399892
66,Bachelor's,Technology,5,Urban,0,Divorced,Full-time,2,Rent,Apartment,Female,Car,71904,11.18310108232048
66,Bachelor's,Finance,2,Urban,26,Married,Full-time,2,Rent,Single-family home,Female,Car,72084,11.185601257246004
55,High School,Education,0,Urban,31,Single,Full-time,1,Rent,Apartment,Male,Public transit,55784,10.92926029502728
22,Bachelor's,Healthcare,0,Urban,28,Single,Self-employed,7,Own,Single-family home,Male,Walking,61314,11.023779790196127
25,High School,Others,0,Urban,30,Single,Full-time,5,Own,Apartment,Female,Car,67764,11.123801116450116
51,Bachelor's,Education,4,Urban,24,Single,Part-time,3,Own,Townhouse,Male,Public transit,68598,11.136033236348252
65,Master's,Technology,1,Urban,6,Divorced,Full-time,2,Rent,Single-family home,Female,Public transit,2135071,14.574010927729628
69,Master's,Finance,2,Urban,38,Single,Full-time,7,Own,Apartment,Female,Public transit,36122,10.494685060560329
29,Bachelor's,Finance,3,Urban,45,Single,Full-time,2,Own,Single-family home,Male,Car,151773,11.93014785127655
55,Bachelor's,Others,2,Urban,15,Married,Part-time,7,Own,Single-family home,Female,Public transit,5132115,15.451028607735791
18,Bachelor's,Finance,2,Suburban,43,Married,Full-time,5,Own,Townhouse,Male,Public transit,359132,12.791448072399644
48,High School,Technology,5,Suburban,10,Single,Full-time,6,Rent,Single-family home,Male,Public transit,33326,10.414123158249833
21,Bachelor's,Others,2,Rural,17,Single,Part-time,4,Rent,Single-family home,Female,Biking,68756,11.138333828527516
66,High School,Others,3,Urban,43,Single,Full-time,1,Own,Apartment,Male,Public transit,69846,11.154062414585958
62,Master's,Others,2,Urban,41,Married,Part-time,1,Rent,Single-family home,Female,Public transit,276502,12.52997694979525
67,Master's,Finance,5,Urban,4,Single,Self-employed,3,Own,Townhouse,Female,Car,74340,11.216417895469137
22,Bachelor's,Healthcare,2,Suburban,1,Divorced,Full-time,5,Rent,Single-family home,Male,Car,3343221,15.022445570615847
47,Master's,Finance,1,Urban,9,Married,Full-time,7,Own,Apartment,Female,Car,67438,11.118978764570546
41,High School,Healthcare,5,Urban,25,Married,Self-employed,7,Own,Single-family home,Male,Public transit,68490,11.134457628756993
20,Bachelor's,Education,1,Urban,23,Divorced,Part-time,6,Own,Single-family home,Male,Biking,72584,11.192513567895528
28,Master's,Healthcare,1,Rural,25,Married,Self-employed,5,Own,Single-family home,Female,Public transit,74852,11.223281469204906
62,Bachelor's,Others,0,Suburban,15,Married,Part-time,5,Own,Townhouse,Female,Public transit,72178,11.186904423847553
21,High School,Education,5,Urban,24,Single,Full-time,4,Own,Apartment,Female,Public transit,1134122,13.941370222996332
43,Master's,Finance,2,Suburban,37,Married,Part-time,5,Rent,Townhouse,Male,Public transit,70366,11.161479682248508
44,Master's,Technology,4,Urban,5,Single,Full-time,4,Rent,Apartment,Female,Car,68116,11.128982093877303
63,Master's,Healthcare,4,Urban,11,Married,Full-time,1,Rent,Apartment,Male,Car,70554,11.164147826491861
60,Master's,Technology,4,Suburban,8,Married,Part-time,7,Own,Single-family home,Male,Car,8466668,15.951647718911168
44,Doctorate,Technology,3,Urban,48,Married,Part-time,7,Own,Single-family home,Female,Car,65270,11.086303112486313
59,High School,Others,1,Urban,41,Married,Part-time,4,Own,Single-family home,Male,Car,73390,11.20355659128086
68,High School,Healthcare,1,Suburban,7,Married,Part-time,1,Own,Apartment,Male,Public transit,49668,10.813136275021739
67,Bachelor's,Healthcare,1,Urban,30,Single,Full-time,7,Own,Townhouse,Female,Car,54095,10.898515524947667
23,High School,Technology,5,Rural,40,Married,Full-time,3,Own,Apartment,Female,Public transit,1412986,14.161216461341256
32,Bachelor's,Healthcare,3,Urban,31,Divorced,Full-time,5,Own,Townhouse,Female,Car,67342,11.117554241767293
70,Bachelor's,Healthcare,2,Urban,6,Married,Part-time,3,Rent,Townhouse,Male,Car,65428,11.088720864237898
47,Bachelor's,Healthcare,0,Urban,31,Single,Full-time,5,Rent,Apartment,Female,Public transit,753292,13.532209541324043
59,High School,Technology,5,Suburban,41,Divorced,Full-time,6,Rent,Single-family home,Female,Public transit,2480059,14.723793311396893
54,Master's,Healthcare,1,Urban,24,Single,Full-time,3,Own,Apartment,Female,Car,66824,11.109832541007119
54,High School,Technology,2,Urban,32,Divorced,Part-time,2,Own,Apartment,Female,Public transit,65190,11.085076701576972
59,Bachelor's,Others,4,Urban,50,Single,Full-time,2,Rent,Apartment,Female,Car,64690,11.077377367258327
54,Master's,Finance,0,Suburban,27,Divorced,Full-time,4,Own,Apartment,Male,Biking,66906,11.111058874424351
52,Master's,Education,4,Urban,10,Single,Full-time,6,Own,Apartment,Male,Car,1841517,14.426100789459724
40,Bachelor's,Technology,2,Urban,30,Married,Part-time,3,Rent,Single-family home,Female,Public transit,929122,13.741996409462383
23,High School,Healthcare,2,Urban,9,Married,Part-time,5,Own,Apartment,Female,Walking,274237,12.521751621482812
21,Bachelor's,Healthcare,4,Urban,1,Married,Full-time,1,Own,Apartment,Male,Public transit,71542,11.178053946515831
35,High School,Healthcare,5,Urban,45,Married,Part-time,4,Own,Single-family home,Female,Biking,72934,11.197323912520314
26,High School,Education,0,Urban,43,Married,Full-time,6,Own,Apartment,Male,Biking,65716,11.093112922904789
66,Bachelor's,Technology,4,Suburban,3,Single,Part-time,4,Own,Single-family home,Male,Public transit,146041,11.891649530553915
46,Bachelor's,Others,4,Urban,21,Single,Part-time,6,Own,Townhouse,Male,Car,75144,11.227174859368194
30,Bachelor's,Others,5,Urban,44,Married,Full-time,2,Own,Apartment,Male,Public transit,74110,11.213319248310043
64,Bachelor's,Healthcare,4,Urban,27,Married,Full-time,6,Own,Single-family home,Male,Car,74224,11.214856299631961
69,Doctorate,Technology,0,Rural,9,Single,Part-time,3,Own,Single-family home,Female,Car,67616,11.12161470970538
34,Doctorate,Healthcare,3,Urban,1,Single,Full-time,3,Own,Single-family home,Male,Car,72730,11.194522982538457
62,Bachelor's,Technology,0,Suburban,48,Married,Self-employed,6,Rent,Townhouse,Male,Public transit,66406,11.103557751594797
49,High School,Healthcare,5,Suburban,30,Married,Part-time,4,Rent,Single-family home,Male,Car,72946,11.197488429047741
65,Bachelor's,Others,4,Urban,41,Married,Part-time,7,Own,Apartment,Female,Biking,3898551,15.176115760106347
39,High School,Others,1,Urban,22,Single,Part-time,2,Own,Apartment,Female,Walking,1763878,14.383025919091882
21,Bachelor's,Healthcare,1,Urban,15,Divorced,Full-time,1,Rent,Townhouse,Female,Car,5672048,15.551060986084853
22,Bachelor's,Finance,2,Suburban,8,Divorced,Self-employed,2,Rent,Apartment,Male,Public transit,830556,13.629851839033728
54,Bachelor's,Technology,3,Suburban,50,Single,Self-employed,3,Own,Single-family home,Female,Car,74880,11.223655465763155
58,Bachelor's,Technology,5,Suburban,42,Married,Part-time,1,Own,Single-family home,Female,Public transit,67622,11.12170344085007
66,High School,Technology,2,Urban,5,Married,Part-time,7,Own,Apartment,Female,Walking,334093,12.719177669488587
30,Bachelor's,Technology,2,Urban,24,Married,Part-time,7,Rent,Single-family home,Male,Biking,558438,13.23290067039831
51,Bachelor's,Others,1,Urban,3,Married,Self-employed,4,Own,Apartment,Female,Biking,1984738,14.50099797731227
62,Bachelor's,Finance,0,Urban,47,Married,Full-time,7,Own,Apartment,Female,Car,77779,11.26163960770974
39,Bachelor's,Technology,2,Urban,11,Single,Full-time,1,Own,Townhouse,Female,Biking,69354,11.146993521197391
70,Bachelor's,Finance,2,Urban,23,Single,Part-time,4,Rent,Single-family home,Female,Car,2518896,14.739331665256996
40,Bachelor's,Others,3,Urban,26,Single,Part-time,2,Own,Townhouse,Male,Biking,72014,11.18462970963315
68,Bachelor's,Education,1,Urban,47,Married,Part-time,1,Own,Townhouse,Male,Public transit,65644,11.09201671536821
20,High School,Healthcare,0,Urban,2,Single,Full-time,5,Own,Townhouse,Female,Public transit,9627488,16.080133002110173
59,High School,Finance,3,Suburban,11,Married,Self-employed,3,Rent,Townhouse,Male,Public transit,71674,11.17989729075157
51,Bachelor's,Others,0,Urban,46,Married,Full-time,4,Own,Single-family home,Male,Biking,67584,11.121141343917929
49,High School,Healthcare,0,Suburban,29,Married,Part-time,1,Rent,Single-family home,Female,Public transit,250772,12.43230342644324
62,Bachelor's,Education,2,Urban,11,Married,Full-time,1,Rent,Apartment,Male,Public transit,67778,11.124007691437571
68,Master's,Healthcare,3,Urban,40,Single,Full-time,7,Own,Single-family home,Female,Public transit,74498,11.218540981458773
66,Master's,Finance,2,Urban,41,Single,Part-time,6,Rent,Single-family home,Female,Car,68998,11.141847290720753
38,Doctorate,Others,4,Urban,39,Divorced,Self-employed,5,Own,Apartment,Female,Public transit,411925,12.928599000549074
63,High School,Technology,0,Urban,44,Married,Self-employed,7,Own,Apartment,Female,Public transit,67546,11.120578930855121
61,Doctorate,Education,3,Suburban,21,Single,Full-time,6,Own,Single-family home,Male,Walking,68982,11.14161537641205
38,Bachelor's,Others,1,Urban,14,Single,Self-employed,6,Rent,Apartment,Female,Car,117881,11.677439403114219
61,Bachelor's,Healthcare,2,Urban,27,Married,Part-time,6,Own,Apartment,Female,Car,73476,11.204727711059563
28,High School,Others,4,Urban,16,Married,Full-time,2,Own,Apartment,Male,Public transit,307990,12.637825840749555
56,Master's,Education,5,Urban,43,Single,Part-time,5,Own,Apartment,Female,Public transit,9011886,16.014055041618555
21,High School,Technology,4,Urban,47,Married,Full-time,1,Rent,Single-family home,Male,Walking,4477499,15.314575412917003
68,Master's,Technology,4,Urban,24,Married,Self-employed,3,Rent,Single-family home,Female,Walking,74640,11.220445233073493
18,High School,Technology,2,Urban,42,Divorced,Full-time,1,Rent,Apartment,Male,Public transit,742081,13.517215028172883
45,Bachelor's,Others,1,Urban,50,Single,Part-time,1,Rent,Apartment,Male,Public transit,58297,10.973323066432819
41,Bachelor's,Others,3,Urban,44,Married,Full-time,1,Own,Apartment,Male,Public transit,72952,11.197570677162934
52,High School,Finance,0,Urban,2,Single,Full-time,6,Own,Single-family home,Male,Public transit,74378,11.216928922914363
30,High School,Healthcare,1,Urban,35,Married,Full-time,5,Rent,Apartment,Male,Public transit,325563,12.693314341887184
64,Bachelor's,Education,2,Urban,30,Single,Full-time,7,Rent,Single-family home,Male,Car,348056,12.760121538447434
51,High School,Technology,5,Suburban,14,Single,Full-time,5,Rent,Single-family home,Female,Public transit,95938,11.471467851820579
28,Bachelor's,Others,3,Urban,45,Single,Full-time,4,Own,Apartment,Male,Public transit,68834,11.139467615497043
53,Bachelor's,Technology,0,Urban,27,Single,Full-time,4,Rent,Single-family home,Male,Walking,69540,11.149671785671286
68,Master's,Others,5,Urban,42,Divorced,Full-time,6,Own,Single-family home,Female,Public transit,71628,11.179255298880026
34,Bachelor's,Others,3,Suburban,30,Single,Self-employed,7,Rent,Apartment,Female,Public transit,187334,12.140653736965294
52,High School,Technology,0,Rural,44,Married,Self-employed,6,Own,Townhouse,Female,Public transit,72746,11.194742947070063
35,Bachelor's,Others,0,Urban,19,Married,Part-time,4,Rent,Apartment,Female,Car,65868,11.095423200101555
57,High School,Others,4,Urban,49,Married,Full-time,1,Rent,Single-family home,Female,Public transit,174926,12.072124023020224
39,Master's,Finance,5,Urban,44,Married,Self-employed,4,Own,Apartment,Female,Car,257497,12.458767232065473
41,Master's,Technology,5,Urban,20,Married,Self-employed,7,Own,Apartment,Male,Biking,71278,11.174357032865585
36,Bachelor's,Finance,2,Urban,26,Divorced,Full-time,4,Rent,Single-family home,Female,Biking,74182,11.21429029239352
54,High School,Healthcare,1,Urban,18,Married,Part-time,2,Own,Apartment,Male,Car,6821747,15.735626301964471
56,Master's,Technology,4,Urban,35,Married,Self-employed,6,Own,Apartment,Male,Car,73398,11.203665590531598
38,Master's,Healthcare,4,Urban,11,Married,Self-employed,6,Own,Apartment,Female,Biking,71974,11.184074115480376
25,Master's,Healthcare,3,Suburban,34,Married,Part-time,5,Rent,Single-family home,Male,Walking,615941,13.330908082238562
45,Master's,Others,5,Urban,47,Married,Full-time,4,Rent,Single-family home,Male,Biking,1027002,13.842155410035932
22,Bachelor's,Technology,0,Urban,32,Single,Full-time,5,Rent,Townhouse,Male,Public transit,68256,11.131035271890433
34,High School,Healthcare,0,Urban,35,Single,Self-employed,3,Own,Single-family home,Male,Biking,73146,11.200226393987311
54,Bachelor's,Education,3,Rural,40,Single,Full-time,6,Own,Townhouse,Female,Car,68466,11.134107156345806
53,Bachelor's,Others,5,Urban,22,Single,Full-time,2,Own,Apartment,Female,Biking,4417073,15.300988043890895
36,Bachelor's,Others,2,Urban,12,Married,Part-time,3,Own,Townhouse,Female,Car,69208,11.144886190952446
44,Bachelor's,Healthcare,0,Suburban,29,Single,Self-employed,6,Own,Townhouse,Male,Walking,65871,11.095468744009686
70,High School,Others,4,Urban,9,Married,Full-time,5,Own,Single-family home,Female,Car,676907,13.425290649011584
51,Bachelor's,Education,4,Urban,40,Divorced,Part-time,5,Own,Single-family home,Male,Walking,71658,11.179674035975085
28,Bachelor's,Technology,5,Urban,19,Married,Full-time,3,Rent,Apartment,Female,Biking,76449,11.244392211357209
62,High School,Finance,0,Suburban,5,Single,Self-employed,4,Own,Townhouse,Male,Car,67002,11.112492673490086
64,Bachelor's,Others,0,Rural,30,Single,Part-time,2,Rent,Single-family home,Female,Public transit,83029,11.326957267256077
29,Master's,Others,2,Suburban,18,Married,Self-employed,5,Rent,Townhouse,Female,Car,67094,11.113864804535059
38,Master's,Healthcare,5,Rural,2,Divorced,Full-time,1,Rent,Apartment,Male,Public transit,97715,11.489820591255132
28,Bachelor's,Technology,0,Urban,9,Married,Full-time,2,Own,Apartment,Male,Car,66984,11.112223992711087
56,Bachelor's,Education,2,Rural,9,Single,Full-time,3,Own,Single-family home,Male,Car,77086,11.252689933142829
45,High School,Technology,4,Urban,20,Single,Part-time,5,Own,Townhouse,Female,Car,65544,11.09049220863191
22,Bachelor's,Technology,2,Rural,1,Divorced,Full-time,5,Rent,Apartment,Female,Public transit,665274,13.407955767991027
34,Bachelor's,Education,0,Urban,44,Single,Part-time,6,Own,Single-family home,Male,Biking,75456,11.2313182365658
37,Bachelor's,Technology,1,Suburban,38,Single,Full-time,3,Rent,Townhouse,Male,Car,69372,11.147253021804348
58,Master's,Healthcare,5,Urban,44,Single,Part-time,1,Own,Apartment,Male,Public transit,67056,11.11329828296227
63,Bachelor's,Technology,0,Urban,29,Divorced,Full-time,6,Rent,Apartment,Male,Car,3172498,14.970030163361804
29,High School,Finance,1,Urban,45,Married,Part-time,1,Rent,Single-family home,Female,Car,65084,11.083449386900561
23,High School,Education,4,Urban,27,Divorced,Part-time,5,Own,Townhouse,Male,Public transit,70156,11.158490866724785
34,Bachelor's,Others,5,Urban,17,Single,Full-time,4,Rent,Single-family home,Male,Car,66102,11.098969410588996
68,Bachelor's,Healthcare,3,Rural,13,Married,Full-time,1,Own,Apartment,Female,Public transit,75829,11.236249271694982
36,Master's,Technology,5,Urban,44,Single,Full-time,1,Rent,Townhouse,Female,Car,72732,11.194550480751076
43,Bachelor's,Technology,4,Rural,18,Single,Part-time,7,Own,Single-family home,Male,Public transit,613515,13.32696162266263
65,Bachelor's,Healthcare,4,Rural,39,Married,Self-employed,4,Own,Apartment,Female,Biking,73824,11.209452706612124
61,Bachelor's,Healthcare,4,Urban,35,Married,Part-time,7,Own,Single-family home,Male,Biking,75444,11.231159192947752
61,Bachelor's,Others,2,Urban,40,Married,Self-employed,6,Rent,Single-family home,Female,Public transit,7772844,15.866146807192745
69,Bachelor's,Technology,4,Urban,11,Divorced,Self-employed,1,Own,Apartment,Female,Public transit,68224,11.13056634557654
49,Bachelor's,Education,3,Urban,19,Single,Full-time,4,Rent,Townhouse,Female,Public transit,367991,12.815816477784335
23,Bachelor's,Education,0,Urban,33,Single,Part-time,7,Rent,Apartment,Female,Car,70320,11.160825752963293
53,High School,Others,1,Urban,35,Married,Full-time,3,Own,Townhouse,Female,Public transit,65570,11.090888804018297
55,Master's,Education,5,Urban,20,Married,Self-employed,6,Own,Apartment,Female,Public transit,74668,11.220820291680797
28,Bachelor's,Others,5,Urban,18,Married,Part-time,2,Own,Apartment,Female,Biking,141273,11.858456546079788
50,High School,Education,4,Urban,40,Married,Part-time,2,Rent,Townhouse,Male,Public transit,74744,11.221837599383615
41,High School,Technology,1,Urban,40,Married,Full-time,3,Own,Apartment,Female,Public transit,66950,11.11171628752756
40,High School,Healthcare,4,Suburban,42,Single,Part-time,1,Rent,Townhouse,Male,Car,617249,13.333029407207427
32,Bachelor's,Finance,2,Urban,41,Single,Part-time,2,Rent,Apartment,Male,Car,1171298,13.973623947305361
44,High School,Finance,1,Urban,34,Married,Full-time,3,Own,Townhouse,Female,Car,1915090,14.465275699050109
28,High School,Technology,4,Urban,7,Married,Full-time,2,Rent,Townhouse,Male,Car,71275,11.174314943847305
68,Bachelor's,Healthcare,4,Suburban,21,Married,Part-time,1,Own,Single-family home,Female,Biking,3546356,15.081431437367671
67,Bachelor's,Technology,3,Urban,42,Married,Full-time,6,Own,Apartment,Female,Public transit,74024,11.212158152969792
34,High School,Healthcare,3,Urban,37,Married,Full-time,4,Rent,Apartment,Male,Public transit,74464,11.218084495319967
68,Bachelor's,Education,3,Urban,17,Married,Part-time,7,Own,Single-family home,Male,Car,4537425,15.327870448882313
70,Master's,Others,2,Rural,7,Married,Full-time,3,Own,Apartment,Female,Public transit,71456,11.176851149168025
31,Doctorate,Finance,1,Rural,1,Married,Full-time,6,Own,Single-family home,Male,Public transit,68530,11.13504147662283
44,Bachelor's,Healthcare,2,Urban,19,Single,Self-employed,2,Rent,Apartment,Female,Car,466365,13.052726012561859
35,High School,Others,0,Suburban,4,Married,Full-time,1,Rent,Townhouse,Male,Biking,68932,11.140890297346669
45,Master's,Others,4,Urban,41,Married,Full-time,6,Rent,Single-family home,Female,Car,948392,13.762524252294188
68,Bachelor's,Technology,4,Urban,29,Married,Full-time,2,Own,Apartment,Female,Public transit,65642,11.091986247998761
64,High School,Technology,4,Urban,17,Divorced,Full-time,1,Rent,Townhouse,Female,Public transit,1184936,13.985200166581121
64,Master's,Others,3,Urban,43,Single,Full-time,1,Rent,Townhouse,Male,Public transit,73328,11.202711444011362
21,Bachelor's,Technology,4,Suburban,22,Married,Full-time,1,Own,Single-family home,Female,Car,72384,11.189754374588144
24,Doctorate,Technology,3,Rural,1,Married,Full-time,1,Own,Single-family home,Female,Car,74280,11.215610477950067
62,Master's,Finance,0,Urban,41,Single,Part-time,3,Own,Townhouse,Male,Biking,5080192,15.440859810958967
52,Bachelor's,Healthcare,2,Urban,43,Married,Part-time,6,Own,Apartment,Female,Car,68058,11.12813025502894
65,Master's,Others,2,Urban,50,Married,Full-time,4,Rent,Townhouse,Male,Car,67746,11.123535457318734
26,Bachelor's,Technology,2,Urban,36,Married,Self-employed,3,Rent,Apartment,Male,Walking,67758,11.123712571247733
25,Bachelor's,Technology,3,Rural,41,Married,Self-employed,2,Own,Single-family home,Female,Biking,66218,11.100722709809322
69,Master's,Healthcare,5,Suburban,31,Single,Part-time,3,Own,Single-family home,Male,Public transit,69090,11.143179755252751
62,Bachelor's,Education,5,Urban,0,Married,Full-time,3,Rent,Single-family home,Male,Biking,70794,11.16754365571907
34,Master's,Education,1,Urban,38,Married,Full-time,2,Own,Single-family home,Male,Walking,66828,11.109892397053347
34,Master's,Education,5,Suburban,0,Married,Part-time,4,Own,Single-family home,Female,Walking,71500,11.177466714598282
66,Doctorate,Finance,1,Urban,48,Married,Full-time,3,Rent,Single-family home,Female,Public transit,909060,13.720167477618732
50,Master's,Healthcare,0,Rural,43,Married,Full-time,1,Own,Apartment,Male,Public transit,70672,11.16581888361168
49,Bachelor's,Healthcare,1,Urban,30,Single,Self-employed,3,Own,Townhouse,Male,Biking,1476972,14.205505281048529
25,High School,Technology,0,Urban,38,Married,Part-time,7,Own,Townhouse,Male,Public transit,75066,11.226136327067039
36,Master's,Technology,4,Urban,7,Married,Full-time,2,Own,Apartment,Female,Car,70890,11.168898765111539
55,High School,Healthcare,2,Urban,2,Married,Full-time,7,Rent,Single-family home,Male,Car,1522119,14.23561465792258
20,High School,Healthcare,5,Urban,46,Single,Full-time,4,Own,Single-family home,Male,Public transit,65776,11.09402551213569
22,High School,Others,3,Urban,11,Married,Full-time,7,Rent,Apartment,Male,Public transit,1619376,14.297552065342133
30,Master's,Healthcare,0,Suburban,48,Single,Full-time,3,Rent,Townhouse,Female,Public transit,72466,11.190886564806565
64,Master's,Others,5,Urban,33,Divorced,Part-time,3,Own,Apartment,Female,Public transit,3868740,15.168439689079543
63,Bachelor's,Education,3,Urban,48,Married,Self-employed,7,Own,Single-family home,Female,Public transit,66260,11.101356767801578
48,Bachelor's,Technology,3,Suburban,24,Single,Part-time,2,Own,Single-family home,Female,Car,75440,11.231106172786824
33,Bachelor's,Healthcare,2,Suburban,35,Married,Full-time,5,Rent,Single-family home,Female,Public transit,4319486,15.278647203168953
67,Bachelor's,Finance,4,Urban,6,Married,Full-time,5,Rent,Apartment,Female,Public transit,73756,11.208531184952136
49,Bachelor's,Healthcare,4,Suburban,14,Married,Part-time,6,Own,Apartment,Male,Public transit,159424,11.979328871183473
39,Bachelor's,Education,1,Rural,20,Married,Full-time,7,Rent,Townhouse,Male,Biking,1513056,14.229642665557229
46,Bachelor's,Healthcare,5,Urban,24,Divorced,Self-employed,3,Rent,Single-family home,Male,Public transit,1762154,14.382048049827219
39,Bachelor's,Finance,4,Urban,47,Single,Full-time,6,Rent,Single-family home,Male,Biking,71326,11.175030216347524
60,Bachelor's,Others,2,Urban,37,Single,Full-time,1,Rent,Single-family home,Female,Public transit,645351,13.377551183352047
20,Bachelor's,Education,5,Urban,36,Married,Part-time,3,Own,Apartment,Female,Public transit,1866753,14.439711651657136
27,Doctorate,Education,3,Urban,15,Married,Full-time,6,Rent,Townhouse,Male,Public transit,69446,11.148319150705216
59,High School,Finance,0,Urban,0,Single,Part-time,7,Rent,Townhouse,Female,Car,71182,11.17300930484645
38,Bachelor's,Others,0,Rural,46,Single,Self-employed,5,Own,Apartment,Female,Car,65766,11.093873471753472
33,Bachelor's,Technology,4,Urban,36,Married,Part-time,3,Own,Single-family home,Male,Biking,71070,11.171434656356537
29,High School,Others,1,Urban,44,Married,Self-employed,1,Rent,Apartment,Female,Car,891286,13.700421764575438
19,Bachelor's,Education,0,Suburban,13,Single,Full-time,4,Rent,Single-family home,Female,Public transit,176419,12.080622794812758
58,High School,Healthcare,1,Urban,33,Married,Full-time,3,Own,Apartment,Female,Car,75098,11.226562522084345
41,Bachelor's,Healthcare,0,Urban,1,Single,Full-time,2,Own,Single-family home,Female,Walking,1349092,14.114943072769165
52,Bachelor's,Technology,1,Urban,30,Single,Part-time,1,Own,Apartment,Female,Car,69606,11.150620415977857
47,Master's,Education,1,Urban,18,Single,Part-time,3,Own,Single-family home,Female,Biking,70918,11.169293659693922
47,Bachelor's,Healthcare,3,Rural,18,Married,Full-time,5,Own,Apartment,Male,Walking,172907,12.060514940120934
64,High School,Healthcare,2,Urban,43,Married,Full-time,6,Own,Apartment,Male,Car,69240,11.14534845170463
52,Master's,Technology,0,Suburban,22,Single,Part-time,3,Own,Apartment,Male,Biking,74960,11.22472325727156
36,High School,Healthcare,5,Urban,29,Single,Part-time,6,Own,Single-family home,Male,Car,72062,11.185296015408854
67,Master's,Healthcare,4,Suburban,16,Married,Full-time,5,Rent,Single-family home,Male,Public transit,499264,13.120892295894318
25,Master's,Others,2,Urban,1,Married,Part-time,7,Own,Single-family home,Male,Public transit,42266,10.651761918721386
43,Bachelor's,Education,3,Urban,10,Divorced,Self-employed,2,Own,Single-family home,Male,Walking,67454,11.119215987872918
66,Master's,Healthcare,3,Rural,48,Married,Full-time,4,Rent,Single-family home,Male,Public transit,9979438,16.11603743428282
57,Master's,Technology,3,Urban,13,Single,Full-time,5,Own,Townhouse,Female,Car,65802,11.09442070897926
24,Master's,Others,4,Urban,40,Married,Self-employed,3,Rent,Townhouse,Female,Car,72012,11.184601937255556
47,Bachelor's,Technology,0,Urban,28,Single,Full-time,2,Own,Apartment,Female,Public transit,65526,11.090217550427058
24,High School,Healthcare,0,Urban,18,Divorced,Self-employed,1,Rent,Single-family home,Female,Public transit,3988019,15.198805425096426
20,Master's,Others,1,Suburban,27,Single,Full-time,3,Own,Apartment,Female,Walking,74038,11.212347260383366
18,High School,Technology,1,Suburban,50,Single,Full-time,6,Rent,Single-family home,Female,Public transit,69922,11.155149915587463
53,High School,Education,5,Urban,0,Married,Full-time,7,Own,Single-family home,Male,Walking,65088,11.083510843105353
42,High School,Technology,1,Rural,4,Single,Self-employed,7,Rent,Apartment,Female,Walking,73310,11.20246594482846
54,Bachelor's,Finance,4,Urban,50,Single,Full-time,6,Rent,Apartment,Female,Car,9829436,16.100892216831067
18,Bachelor's,Technology,2,Urban,33,Married,Self-employed,7,Own,Single-family home,Female,Walking,188005,12.144229156196435
32,Master's,Others,0,Urban,13,Married,Full-time,6,Own,Apartment,Male,Car,72044,11.185046202767035
54,Master's,Technology,1,Urban,18,Married,Full-time,7,Own,Single-family home,Female,Biking,68426,11.133522762564656
30,High School,Others,4,Urban,23,Married,Full-time,1,Own,Apartment,Male,Walking,1350422,14.115928434669309
